arm,session,checkpoint,step,K,val_tv,tf_agree_specs,tf_mean_accepted_prefix,tf_full_block_rate,seed_row_agreement,free_acceptance_rate,free_mean_accepted_specs,free_full_block_rate,tpf,forwards_per_token,proposal_ms,verify_ms,commit_ms,overhead_ms,cycle_ms,unattributed_ms,prefill_ms,tok_s_median,tok_s_std,tok_s_repeat_noise,speedup_vs_ar,predicted_tok_s,predicted_tok_s_v1,cost_model_error_pct,cost_model_v1_error_pct,cost_model_steady_error_pct,ceiling_speedup,ar_agreement,ar_baseline_tok_s,peak_memory_gb,backbone_unchanged,agree_plus_1,agree_plus_2,agree_plus_3,agree_plus_4,agree_plus_5,agree_plus_6,agree_plus_7,agree_plus_8,p_accept_0,p_accept_1,p_accept_2,p_accept_3,p_accept_4,p_accept_5,p_accept_6,p_accept_7,p_accept_8,survive_ge_1,survive_ge_2,survive_ge_3,survive_ge_4,survive_ge_5,survive_ge_6,survive_ge_7,survive_ge_8,draft_q1_accept,draft_q2_accept,draft_q3_accept,draft_q4_accept,draft_q5_accept,draft_pearson_gap,draft_pearson_entropy,best_k4_tok_s,best_k4_step,speedup_vs_best_k4,tpf_vs_best_k4
B2,2026-09-05T02:15:05,B2-start(step-12800),12800,4,0.96742,0.3125,0.74219,0.06641,1.0,0.3226,0.9679,0.0723,1.40351,0.7125,24.5375,24.0169,0.3034,0.902,49.7598,0.0064,37.8146,56.175,5.356,0.1838,1.136,56.967,60.745,1.411,8.136,-0.188,2.032,0.8528,49.451,11.594,True,1.0,0.48047,0.26953,0.1875,,,,,0.37349,0.35743,0.19679,0.07229,,,,,,0.62651,0.26908,0.07229,,,,,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.9509,0.9805
B2,2026-09-05T02:15:05,B2k6-14400,14400,4,0.96755,0.31901,0.79688,0.08594,1.0,0.3293,0.9879,0.0968,1.409,0.70972,24.3272,23.8951,0.2861,0.8619,49.3703,0.0062,37.8082,55.542,5.775,0.1435,1.1232,57.767,61.596,4.005,10.899,5.765,2.048,0.8528,49.451,11.629,True,1.0,0.5,0.27344,0.18359,,,,,0.39516,0.31855,0.18952,0.09677,,,,,,0.60484,0.28629,0.09677,,,,,,0.27933,0.20112,0.17318,0.15084,0.13611,-0.15855,-0.07418,59.075,16000,0.9402,0.9843
B2,2026-09-05T02:15:05,B2k8-14800,14800,4,0.95184,0.31771,0.74219,0.06641,1.0,0.3201,0.9602,0.0876,1.39265,0.71806,24.3439,23.8815,0.2944,0.8649,49.3847,0.0061,37.5188,55.126,5.963,0.1235,1.1148,57.258,61.009,3.868,10.672,4.825,2.0474,0.8528,49.451,11.629,True,1.0,0.49219,0.26953,0.19141,,,,,0.40239,0.32271,0.18725,0.08765,,,,,,0.59761,0.2749,0.08765,,,,,,0.2905,0.2067,0.1676,0.15642,0.13056,-0.1839,-0.09624,59.075,16000,0.9332,0.9729
B2,2026-09-05T02:15:05,B2k8-16000,16000,4,0.9566,0.32161,0.78125,0.08594,1.0,0.3484,1.0451,0.1025,1.43141,0.69861,24.3467,23.8706,0.292,0.866,49.3753,0.0062,37.4793,58.603,6.266,0.1305,1.1851,58.839,62.773,0.402,7.115,1.988,2.0478,0.8528,49.451,11.629,True,1.0,0.49609,0.28516,0.18359,,,,,0.37295,0.31148,0.21311,0.10246,,,,,,0.62705,0.31557,0.10246,,,,,,0.28771,0.22067,0.18715,0.1676,0.13333,-0.16692,-0.0707,59.075,16000,0.992,1.0
B2,2026-09-05T02:15:05,B2-start(step-12800),12800,8,1.33397,0.18192,0.78125,0.0,1.0,0.1553,1.0871,0.0,1.44869,0.69028,26.3287,27.8222,0.3207,0.9859,55.4576,0.0069,40.3106,52.713,5.397,0.1643,1.066,53.18,56.674,0.886,7.514,3.088,3.2818,0.8597,49.451,11.594,True,1.0,0.46875,0.27344,0.16797,0.12891,0.09375,0.09375,0.04688,0.35685,0.34855,0.20332,0.04564,0.0332,0.01245,0.0,0.0,,0.64315,0.29461,0.09129,0.04564,0.01245,0.0,0.0,,0.2905,0.18156,0.14804,0.15084,0.13889,-0.19291,-0.08416,59.075,16000,0.8923,1.0121
B2,2026-09-05T02:15:05,B2k6-14400,14400,8,1.32857,0.18806,0.74609,0.0,1.0,0.1565,1.0958,0.0,1.45455,0.6875,26.1127,27.6623,0.2973,0.9247,54.997,0.0073,40.3959,53.03,5.285,0.1772,1.0724,53.745,57.254,1.349,7.965,3.537,3.3093,0.8292,49.451,11.629,True,1.0,0.46484,0.26562,0.20312,0.10938,0.10547,0.10156,0.06641,0.40417,0.26667,0.22083,0.05833,0.04167,0.00417,0.00417,0.0,,0.59583,0.32917,0.10833,0.05,0.00833,0.00417,0.0,,0.27933,0.20112,0.17318,0.15084,0.13611,-0.15855,-0.07418,59.075,16000,0.8977,1.0162
B2,2026-09-05T02:15:05,B2k8-14800,14800,8,1.3207,0.19029,0.73828,0.0,1.0,0.1481,1.0366,0.0,1.42012,0.70417,26.1471,27.658,0.2969,0.9139,55.0158,0.0072,40.6044,50.631,4.775,0.1739,1.0239,52.733,56.127,4.151,10.855,1.35,3.3081,0.8208,49.451,11.629,True,1.0,0.44141,0.28906,0.17578,0.13281,0.12109,0.10547,0.06641,0.4065,0.30081,0.18699,0.06504,0.03659,0.00407,0.0,0.0,,0.5935,0.29268,0.10569,0.04065,0.00407,0.0,0.0,,0.2905,0.2067,0.1676,0.15642,0.13056,-0.1839,-0.09624,59.075,16000,0.8571,0.9921
B2,2026-09-05T02:15:05,B2k8-16000,16000,8,1.30458,0.19922,0.76172,0.0,1.0,0.1633,1.1429,0.0,1.4664,0.68194,26.1236,27.644,0.2988,0.9182,54.9845,0.0072,40.5462,53.092,4.188,0.1314,1.0736,54.526,58.13,2.701,9.488,4.961,3.31,0.8597,49.451,11.629,True,1.0,0.47656,0.25781,0.21484,0.14453,0.13672,0.09766,0.06641,0.36975,0.30252,0.21849,0.05042,0.04622,0.0084,0.0042,0.0,,0.63025,0.32773,0.10924,0.05882,0.01261,0.0042,0.0,,0.28771,0.22067,0.18715,0.1676,0.13333,-0.16692,-0.0707,59.075,16000,0.8987,1.0244
control,2026-09-05T02:15:05,untrained,0,2,0.91015,0.08984,0.08984,0.08984,1.0,0.1667,0.1667,0.1667,1.04803,0.95417,23.4451,21.3873,0.3087,0.8835,46.0246,0.0061,34.9785,45.058,2.506,0.1077,0.9112,45.515,47.998,1.014,6.525,-0.361,1.3181,0.8528,49.451,11.039,True,1.0,0.08984,,,,,,,0.83333,0.16667,,,,,,,,0.16667,,,,,,,,0.12291,0.03631,0.01117,0.0,0.0,-0.40733,-0.09267,59.075,16000,0.7627,0.7322
control,2026-09-05T02:15:05,untrained,0,4,1.40708,0.04687,0.07422,0.0,1.0,0.0459,0.1378,0.0,1.033,0.96806,24.5798,24.0868,0.3123,0.9222,49.9012,0.0065,38.3878,40.838,1.838,0.106,0.8258,41.422,43.648,1.43,6.88,2.517,2.0262,0.8528,49.451,11.039,True,1.0,0.07031,0.03906,0.03125,,,,,0.87097,0.12023,0.0088,0.0,,,,,,0.12903,0.0088,0.0,,,,,,0.12291,0.03631,0.01117,0.0,0.0,-0.40733,-0.09267,59.075,16000,0.6913,0.7217
control,2026-09-05T02:15:05,untrained,0,8,1.65829,0.03404,0.09375,0.0,1.0,0.0257,0.1796,0.0,1.05417,0.94861,26.6183,28.2462,0.3239,0.9874,56.1757,0.0073,42.1786,36.855,1.65,0.1412,0.7453,37.521,39.495,1.807,7.161,-0.202,3.2398,0.8208,49.451,11.039,True,1.0,0.08594,0.05078,0.01953,0.02344,0.02344,0.01562,0.01953,0.82635,0.16766,0.00599,0.0,0.0,0.0,0.0,0.0,,0.17365,0.00599,0.0,0.0,0.0,0.0,0.0,,0.12291,0.03631,0.01117,0.0,0.0,-0.40733,-0.09267,59.075,16000,0.6239,0.7365
