arm,checkpoint,K,ceiling_speedup,actual_speedup,actual_per_slot_accept,target_speedup,reachable,required_per_slot_accept,required_mean_committed,required_full_block_rate,required_tpf
B1,B1-13600,4,2.0306,1.1293,0.3108,2.0,True,0.9874,4.9247,0.9625,2.4624
B1,B1-13600,8,3.2873,1.0634,0.1552,1.1,True,0.505,3.0116,0.0084,1.5058
B1,B1-13600,8,3.2873,1.0634,0.1552,1.2,True,0.5671,3.2854,0.0189,1.6427
B1,B1-13600,8,3.2873,1.0634,0.1552,1.3,True,0.6175,3.5592,0.0342,1.7796
B1,B1-13600,8,3.2873,1.0634,0.1552,1.5,True,0.6958,4.1067,0.079,2.0534
B1,B1-13600,8,3.2873,1.0634,0.1552,1.75,True,0.7682,4.7911,0.1579,2.3956
B1,B1-13600,8,3.2873,1.0634,0.1552,2.0,True,0.8241,5.4756,0.2581,2.7378
B1,B1-14400,2,1.3229,1.0534,0.5936,1.1,True,0.4946,2.4946,0.4946,1.2473
B1,B1-14400,2,1.3229,1.0534,0.5936,1.2,True,0.7214,2.7214,0.7214,1.3607
B1,B1-14400,2,1.3229,1.0534,0.5936,1.3,True,0.9482,2.9482,0.9482,1.4741
B1,B1-14400,2,1.3229,1.0534,0.5936,1.5,False,,,,
B1,B1-14400,2,1.3229,1.0534,0.5936,1.75,False,,,,
B1,B1-14400,2,1.3229,1.0534,0.5936,2.0,False,,,,
B1,B1-14400,4,2.0501,1.1292,0.3226,1.1,True,0.4251,2.6827,0.0768,1.3414
B1,B1-14400,4,2.0501,1.1292,0.3226,1.2,True,0.5185,2.9266,0.1394,1.4633
B1,B1-14400,4,2.0501,1.1292,0.3226,1.3,True,0.5983,3.1705,0.2142,1.5853
B1,B1-14400,4,2.0501,1.1292,0.3226,1.5,True,0.7316,3.6583,0.3915,1.8291
B1,B1-14400,4,2.0501,1.1292,0.3226,1.75,True,0.8665,4.268,0.6506,2.134
B1,B1-14400,4,2.0501,1.1292,0.3226,2.0,True,0.9793,4.8777,0.9393,2.4389
B1,B1-14400,8,3.312,1.0272,0.1499,1.1,True,0.4992,2.9892,0.0077,1.4946
B1,B1-14400,8,3.312,1.0272,0.1499,1.2,True,0.5621,3.2609,0.0177,1.6305
B1,B1-14400,8,3.312,1.0272,0.1499,1.3,True,0.613,3.5327,0.0325,1.7663
B1,B1-14400,8,3.312,1.0272,0.1499,1.5,True,0.692,4.0762,0.076,2.0381
B1,B1-14400,8,3.312,1.0272,0.1499,1.75,True,0.7649,4.7555,0.1532,2.3778
B1,B1-14400,8,3.312,1.0272,0.1499,2.0,True,0.8211,5.435,0.2517,2.7175
B1,B1-16000,2,1.3238,1.089,0.6179,1.1,True,0.4928,2.4928,0.4928,1.2464
B1,B1-16000,2,1.3238,1.089,0.6179,1.2,True,0.7194,2.7194,0.7194,1.3597
B1,B1-16000,2,1.3238,1.089,0.6179,1.3,True,0.946,2.946,0.946,1.473
B1,B1-16000,2,1.3238,1.089,0.6179,1.5,False,,,,
B1,B1-16000,2,1.3238,1.089,0.6179,1.75,False,,,,
B1,B1-16000,2,1.3238,1.089,0.6179,2.0,False,,,,
B1,B1-16000,4,2.0499,1.1946,0.3525,1.1,True,0.4253,2.6831,0.0769,1.3415
B1,B1-16000,4,2.0499,1.1946,0.3525,1.2,True,0.5186,2.927,0.1395,1.4635
B1,B1-16000,4,2.0499,1.1946,0.3525,1.3,True,0.5984,3.1709,0.2143,1.5854
B1,B1-16000,4,2.0499,1.1946,0.3525,1.5,True,0.7317,3.6587,0.3917,1.8294
B1,B1-16000,4,2.0499,1.1946,0.3525,1.75,True,0.8666,4.2685,0.6508,2.1342
B1,B1-16000,4,2.0499,1.1946,0.3525,2.0,True,0.9794,4.8783,0.9396,2.4391
B1,B1-16000,8,3.3053,1.0875,0.157,1.1,True,0.5008,2.9952,0.0079,1.4976
B1,B1-16000,8,3.3053,1.0875,0.157,1.2,True,0.5635,3.2675,0.018,1.6337
B1,B1-16000,8,3.3053,1.0875,0.157,1.3,True,0.6142,3.5397,0.033,1.7699
B1,B1-16000,8,3.3053,1.0875,0.157,1.5,True,0.693,4.0843,0.0768,2.0422
B1,B1-16000,8,3.3053,1.0875,0.157,1.75,True,0.7658,4.7651,0.1545,2.3825
B1,B1-16000,8,3.3053,1.0875,0.157,2.0,True,0.8219,5.4458,0.2534,2.7229
B2,B2k6-14400,2,1.3229,1.0536,0.583,1.1,True,0.4945,2.4945,0.4945,1.2473
B2,B2k6-14400,2,1.3229,1.0536,0.583,1.2,True,0.7213,2.7213,0.7213,1.3606
B2,B2k6-14400,2,1.3229,1.0536,0.583,1.3,True,0.9481,2.9481,0.9481,1.474
B2,B2k6-14400,2,1.3229,1.0536,0.583,1.5,False,,,,
B2,B2k6-14400,2,1.3229,1.0536,0.583,1.75,False,,,,
B2,B2k6-14400,2,1.3229,1.0536,0.583,2.0,False,,,,
B2,B2k6-14400,4,2.048,1.1232,0.3293,1.1,True,0.4263,2.6855,0.0775,1.3428
B2,B2k6-14400,4,2.048,1.1232,0.3293,1.2,True,0.5195,2.9297,0.1402,1.4648
B2,B2k6-14400,4,2.048,1.1232,0.3293,1.3,True,0.5993,3.1738,0.2153,1.5869
B2,B2k6-14400,4,2.048,1.1232,0.3293,1.5,True,0.7325,3.6621,0.393,1.8311
B2,B2k6-14400,4,2.048,1.1232,0.3293,1.75,True,0.8674,4.2724,0.6526,2.1362
B2,B2k6-14400,4,2.048,1.1232,0.3293,2.0,True,0.9802,4.8828,0.9418,2.4414
B2,B2k6-14400,8,3.3093,1.0724,0.1565,1.1,True,0.4999,2.9916,0.0078,1.4958
B2,B2k6-14400,8,3.3093,1.0724,0.1565,1.2,True,0.5627,3.2636,0.0179,1.6318
B2,B2k6-14400,8,3.3093,1.0724,0.1565,1.3,True,0.6135,3.5355,0.0327,1.7678
B2,B2k6-14400,8,3.3093,1.0724,0.1565,1.5,True,0.6924,4.0795,0.0763,2.0397
B2,B2k6-14400,8,3.3093,1.0724,0.1565,1.75,True,0.7653,4.7594,0.1537,2.3797
B2,B2k6-14400,8,3.3093,1.0724,0.1565,2.0,True,0.8214,5.4393,0.2524,2.7197
B2,B2k8-14800,2,1.3221,1.0454,0.5866,1.1,True,0.496,2.496,0.496,1.248
B2,B2k8-14800,2,1.3221,1.0454,0.5866,1.2,True,0.723,2.723,0.723,1.3615
B2,B2k8-14800,2,1.3221,1.0454,0.5866,1.3,True,0.9499,2.9499,0.9499,1.4749
B2,B2k8-14800,2,1.3221,1.0454,0.5866,1.5,False,,,,
